PID AA_21 AA_22 AA_23 AA_24 AA_25 AA_26 AA_27 AA_28 AA_29 AA_30 AA_31 AA_32 AA_33 AA_34 AA_35 AA_36 AA_37 AA_38 AA_39 AA_40
Pathogen_1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 0
Pathogen_2 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0
Pathogen_3 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1
Pathogen_4 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0
Pathogen_5 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0
Pathogen_6 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0
Pathogen_7 1 0 0 1 1 1 0 0 0 0 0 1 0 1 1 1 0 0 1 0
Pathogen_8 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
Pathogen_9 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0
Pathogen_10 1 1 1 1 0 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0
Pathogen_11 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1
Pathogen_12 1 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 1 0
Pathogen_13 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1
Pathogen_14 1 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0
Pathogen_15 0 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0
Pathogen_16 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1
Pathogen_17 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0
Pathogen_18 1 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0
Pathogen_19 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1
Pathogen_20 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 1
Pathogen_21 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0
Pathogen_22 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0
Pathogen_23 0 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1
Pathogen_24 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0
Pathogen_25 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0
Pathogen_26 1 1 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0
Pathogen_27 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0
Pathogen_28 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 0
Pathogen_29 1 1 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0
Pathogen_30 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0
Pathogen_31 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0
Pathogen_32 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
Pathogen_33 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0
Pathogen_34 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0
Pathogen_35 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
Pathogen_36 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 0 1 0 1
Pathogen_37 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1
Pathogen_38 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Pathogen_39 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1
Pathogen_40 0 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0
Pathogen_41 1 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0
Pathogen_42 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0
Pathogen_43 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 0
Pathogen_44 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 0
Pathogen_45 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0
Pathogen_46 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0
Pathogen_47 1 0 1 0 1 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0
Pathogen_48 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0
Pathogen_49 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0
Pathogen_50 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
Pathogen_51 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
Pathogen_52 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
Pathogen_53 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0
Pathogen_54 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0
Pathogen_55 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Pathogen_56 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0
Pathogen_57 1 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0
Pathogen_58 1 1 1 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 1
Pathogen_59 1 1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0
Pathogen_60 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0
Pathogen_61 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0
Pathogen_62 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0
Pathogen_63 0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1
Pathogen_64 0 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0
Pathogen_65 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 1 0
Pathogen_66 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0
Pathogen_67 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
Pathogen_68 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
Pathogen_69 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0
Pathogen_70 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0
Pathogen_71 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 1 0
Pathogen_72 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0
Pathogen_73 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0
Pathogen_74 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0
Pathogen_75 1 0 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0
Pathogen_76 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0
Pathogen_77 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0
Pathogen_78 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0
Pathogen_79 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1
